participant_id,trial_index,song_file,song_title,true_origin,shown_origin,mislabeled,enjoy_before_origin,enjoy_after_origin,musical_quality,surprised_by_origin,origin_changed_experience
5NAQJ3,1,stimuli/experiment/guitar-vinaigrette.mp3,guitar-vinaigrette,AI-generated,AI-generated,False,Extremely,Extremely,Very much,Extremely,Not at all
5NAQJ3,2,stimuli/experiment/sun-through-blinds.mp3,sun-through-blinds,AI-generated,AI-generated,False,Moderately,Quite a lot,Quite a lot,Extremely,Slightly
5NAQJ3,3,stimuli/experiment/warm-light-patio.mp3,warm-light-patio,AI-generated,Human composed,True,Very much,Very much,Quite a lot,Not at all,Not at all
5NAQJ3,4,stimuli/experiment/old-blue-sheet.mp3,old-blue-sheet,AI-generated,Human composed,True,Extremely,Extremely,Very much,Not at all,Not at all
5NAQJ3,5,stimuli/experiment/red-motel-key.mp3,red-motel-key,AI-generated,AI-generated,False,Quite a lot,Quite a lot,Very much,Slightly,Not at all
5NAQJ3,6,stimuli/experiment/violins-&-sand.mp3,violins-&-sand,AI-generated,Human composed,True,Very much,Very much,Very much,Slightly,Not at all
9FRRF6,1,stimuli/experiment/old-blue-sheet.mp3,old-blue-sheet,AI-generated,AI-generated,False,Quite a lot,Very much,Very much,Extremely,Quite a lot
9FRRF6,2,stimuli/experiment/violins-&-sand.mp3,violins-&-sand,AI-generated,AI-generated,False,Moderately,Very little,Moderately,Slightly,Quite a lot
9FRRF6,3,stimuli/experiment/sun-through-blinds.mp3,sun-through-blinds,AI-generated,AI-generated,False,Moderately,Moderately,Quite a lot,Moderately,Slightly
9FRRF6,4,stimuli/experiment/red-motel-key.mp3,red-motel-key,AI-generated,Human composed,True,Quite a lot,Moderately,Quite a lot,Slightly,Very little
9FRRF6,5,stimuli/experiment/warm-light-patio.mp3,warm-light-patio,AI-generated,Human composed,True,Very little,Not at all,Very little,Very little,Moderately
9FRRF6,6,stimuli/experiment/guitar-vinaigrette.mp3,guitar-vinaigrette,AI-generated,Human composed,True,Very little,Very little,Slightly,Very little,Very little
4XU4M9,1,stimuli/experiment/guitar-vinaigrette.mp3,guitar-vinaigrette,AI-generated,Human composed,True,Quite a lot,Quite a lot,Very much,Not at all,Not at all
4XU4M9,2,stimuli/experiment/old-blue-sheet.mp3,old-blue-sheet,AI-generated,AI-generated,False,Very much,Very much,Extremely,Quite a lot,Moderately
4XU4M9,3,stimuli/experiment/sun-through-blinds.mp3,sun-through-blinds,AI-generated,Human composed,True,Extremely,Extremely,Very much,Not at all,Not at all
4XU4M9,4,stimuli/experiment/red-motel-key.mp3,red-motel-key,AI-generated,AI-generated,False,Quite a lot,Quite a lot,Very much,Slightly,Slightly
4XU4M9,5,stimuli/experiment/violins-&-sand.mp3,violins-&-sand,AI-generated,Human composed,True,Slightly,Slightly,Very much,Not at all,Not at all
4XU4M9,6,stimuli/experiment/warm-light-patio.mp3,warm-light-patio,AI-generated,AI-generated,False,Very much,Very much,Very much,Slightly,Slightly
GKQ4V7,1,stimuli/experiment/violins-&-sand.mp3,violins-&-sand,AI-generated,Human composed,True,Very much,Very much,Very much,Very little,Not at all
GKQ4V7,2,stimuli/experiment/guitar-vinaigrette.mp3,guitar-vinaigrette,AI-generated,Human composed,True,Moderately,Moderately,Moderately,Quite a lot,Quite a lot
GKQ4V7,3,stimuli/experiment/sun-through-blinds.mp3,sun-through-blinds,AI-generated,AI-generated,False,Quite a lot,Moderately,Quite a lot,Very little,Slightly
GKQ4V7,4,stimuli/experiment/red-motel-key.mp3,red-motel-key,AI-generated,Human composed,True,Moderately,Very much,Moderately,Moderately,Slightly
GKQ4V7,5,stimuli/experiment/old-blue-sheet.mp3,old-blue-sheet,AI-generated,AI-generated,False,Very little,Very little,Very little,Not at all,Very little
GKQ4V7,6,stimuli/experiment/warm-light-patio.mp3,warm-light-patio,AI-generated,AI-generated,False,Slightly,Slightly,Very little,Not at all,Not at all
